RINFID	行政区划编码	RINFORMATION	PNUMATT
31	320100	全天禁止外地号牌、本地大货车、大客车(20座以上大巴)在长江大桥通行。	2
32	130100	工作日（法定节假日除外）7:30-8:30、17:30-19:00，禁止外埠车辆在二环路（不含）以内道路通行。	2
33	330200	江厦桥、灵桥规定时间内实行单双号限行，单号日期单号车牌限行，双号日期双号车牌限行，车牌尾数为英文字母的，以字母前最后一位阿拉伯数字为准。	3
34	654000	法定工作日（周一至周五，节假日调整除外）每日早高峰08：50—10：20、午高峰13：00—14:00、晚高峰19：20—20：20；（以上时间均为北京时间）,禁止外牌车在国道218线--省道220线--南环路--滨河路--X699线--重庆路围合区域内（不含以上道路）通行。	2
35	450200	柳江大桥在07:00-22:00实行单双号限行，单号日期单号车牌限行，双号日期双号车牌限行	3
36	420200	杭州东路（澄月岛路口至商场路口）在17:00-19:00实行单双号限行，单号日期单号车牌限行，双号日期双号车牌限行	3
37	650100	法定工作日（周一至周五，假日调整除外）每日北京时间09:00—10:30（早高峰）、18:30—21:00（晚高峰）,以下区域禁止外埠号牌车辆（军警、消防、救护、客运班线车辆除外）通行，河南西路—河南东路—红光山路—会展南路-东外环路—东后街—东大梁西街—大湾北路—大湾南路—三屯碑路—新华南路—应急通道—河滩快速路—珠江路—仓房沟路—钱塘江路—西外环路（含上述道路及高架桥下道路）等道路围合的区域。	2
38	110000	4月17日赛事期间，下列时间、道路除持有安利纽崔莱2016北京国际长跑节比赛专用车证的车辆外，其他机动车将分时、分段禁止通行。1．6时50分起，由天安门广场东侧路南口（不含）经广场东侧路至广场东侧路北口（不含）机动车道，禁止机动车通行。社会车辆可绕行大会堂西侧路。2．6时55分起，东长安街由广场西侧路北口（不含）至建国门桥机动车道，禁止机动车通行。社会车辆可绕行崇文门西大街、前门东大街。3．7时05分起，东二环辅路由建国门桥经朝阳门桥至东四十条桥机动车道，禁止机动车通行。社会车辆可绕行朝阳门内大街、朝阳门外大街。4．7时10分起，东二环辅路由东四十条桥经东直门桥至小街桥机动车道，禁止机动车通行。社会车辆可绕行平安大街、工人体育场北路、东直门内大街、东直门外大街。5．7时20分起，北二环辅路小街桥经雍和宫桥至安定门桥机动车道，禁止机动车通行。社会车辆可绕行和平里东街、和平里西街、东直门北小街、雍和宫大街。6．7时28分起，由安定门桥经安外大街至安贞桥机动车道，禁止机动车通行。社会车辆可绕行鼓楼外大街、和平里西街。7．7时35分起，由安贞桥经安定路至奥体东门路口机动车道，禁止机动车通行。社会车辆可绕行樱花园西街。8．7时43分起，由奥体东门路口经奥体中路至奥体西门路口机动车道，禁止机动车通行。社会车辆可绕行北辰西路。9．7时50分起，由奥体西门路口经北辰路、北土城路口、北辰路至民族园路口机动车道，禁止机动车通行。社会车辆可绕行北辰西路。10．8时01分起，国家体育场北路（湖景东路至天辰西路路段）机动车道，禁止机动车通行。社会车辆可绕行北辰西路。	3
39	110000	5月7日7时至8时30分，房易路长沟中学路口至云居寺路后石门北口、长沟镇环湖路、东甘池村路、南甘池村路、西甘池村路、轩辕寺路、三座庵南路、京昆高速公路云居寺路出口（45）除持有长走大会组委会核发专用证件的车辆外，禁止其他车辆通行；8时30分至长走活动结束，上述路段禁止所有车辆通行。	3
40	110000	一、天安门广场地区4月30日0时至5月2日24时，广场东侧路、广场西侧路、人大会堂西路（人民大会堂南侧路段）禁止车辆通行（持专项活动通行证的机动车除外），过往车辆（含公共电、汽车）绕行正义路和人大会堂西路。二、景山地区4月30日至5月2日，每天7时至17时，对下列道路采取以下临时交通管理措施（公共电、汽车除外）：1．景山东街禁止机动车由北向南行驶；2．景山后街禁止机动车由西向东行驶；3．景山西街禁止机动车由南向北行驶。三、京藏高速公路4月30日至5月2日，每天3时至15时，京藏高速公路百葛桥六环路出口至营城子收费站出京方向，禁止4吨（不含）以上载货汽车通行。禁止通行的机动车可绕行六环路、京新高速公路、110国道。	3
41	120000	5月15日（星期日）6：00实施交通管制，人员可穿行，不可进入赛道；7：30全封闭；15：00赛道全线解除交通管制，正常通行。 禁行路段1.雍阳西道（泉旺路—翠亨路段）2.翠亨路（雍阳西道—前进道段）3.前进道（翠亨路—京津公路段）4.京津公路（前进道—福源道段）5.福源道（京津公路—新平路段）	3
42	350200	因轨道交通1号线火炬园站（进出岛方向马垅天桥~湖里大道与嘉禾路交叉路口范围），爆破作业需要，将对爆破作业点周边道路50米范围采取临时道路交通限制措施，禁止机动车、非机动车及行人通行，每次交通限制时长约5—10分钟。爆破作业时间从2016年5月30日至2016年6月5日11:15-11:20；17：00-17：05	3
43	350200	因轨道交通2号线东渡路站（东港路路口）爆破作业需要，将对爆破作业点周边道路50米范围采取临时道路交通限制措施，禁止机动车、非机动车及行人通行，每次交通限制时长约5—10分钟。爆破作业时间从2016年5月30日至2016年6月5日10:00-10:05；16：30-16：35 。	3
44	511000	6月3日上午8:00—10:00城区部分街道将实施交通管制。其中市中区范围内，叠象街与滨江西路交叉路口起，沿滨江西路至民族路口将实行全封闭，禁止社会车辆通行，而从市中区到东兴区经桐梓坝大桥的车辆可以经兰桂大道到东兴区。东兴区范围内，西林大桥北桥头起，沿东桐路至大千路口实行全封闭，东桐路人防路口至桐梓坝大桥实行半幅封闭、半幅单向往市中区方向通行。	3
45	450500	6月7日至8日每天8：00—12：00、14：00—17：30，对金海岸大道北海中学路段、北海五中、北海七中门前路段实行临时交通管制措施。	3
46	530800	一、管制时间 2015年6月7日至8日的7:25-12:00,13:20-17:30。二、管制路段（一）思茅一中正门至区政府门口前道路103米范围内、顺城街全路段及小石桥区域路段。（二）普洱市一中正门前道路410米范围内（普洱大道辅道普洱市一中路段）。三、管制措施（一）禁止机动车通行。（二）禁止机动车辆鸣笛。	3
